# DEns     P kb 1.00E+18
  1.230E-03  2.755E+01
  1.514E-03  3.276E+01
  1.862E-03  3.893E+01
  2.291E-03  4.626E+01
  2.818E-03  5.495E+01
  3.467E-03  6.527E+01
  4.266E-03  7.756E+01
  5.248E-03  9.218E+01
  6.457E-03  1.096E+02
  7.943E-03  1.305E+02
  9.772E-03  1.554E+02
  1.202E-02  1.853E+02
  1.479E-02  2.212E+02
  1.820E-02  2.643E+02
  2.239E-02  3.162E+02
  2.754E-02  3.788E+02
  3.388E-02  4.542E+02
  4.169E-02  5.455E+02
  5.129E-02  6.559E+02
  6.310E-02  7.895E+02
  7.762E-02  9.513E+02
  9.550E-02  1.147E+03
  1.175E-01  1.385E+03
  1.445E-01  1.674E+03
  1.778E-01  2.024E+03
  2.188E-01  2.449E+03
  2.692E-01  2.963E+03
  3.311E-01  3.587E+03
  4.074E-01  4.343E+03
  5.012E-01  5.258E+03
  6.166E-01  6.363E+03
  7.586E-01  7.695E+03
  9.333E-01  9.290E+03
  1.148E+00  1.119E+04
  1.413E+00  1.340E+04
  1.738E+00  1.587E+04
  2.138E+00  1.820E+04
  2.630E+00  1.759E+04
  3.236E+00  1.379E+04
  3.981E+00  1.086E+04
  4.898E+00  8.344E+03
  6.026E+00  6.522E+03
  7.413E+00  5.456E+03
  9.120E+00  4.948E+03
  1.122E+01  4.735E+03
  1.380E+01  4.711E+03
  1.698E+01  4.834E+03
  2.089E+01  5.086E+03
  2.570E+01  5.470E+03
  3.162E+01  5.996E+03
  3.890E+01  6.686E+03
  4.786E+01  7.567E+03
  5.888E+01  8.676E+03
  7.244E+01  1.005E+04
  8.913E+01  1.174E+04
  1.096E+02  1.380E+04
  1.349E+02  1.627E+04
  1.660E+02  1.921E+04
  2.042E+02  2.271E+04
  2.512E+02  2.684E+04
  3.090E+02  3.170E+04
  3.802E+02  3.741E+04
  4.677E+02  4.412E+04
  5.754E+02  5.200E+04
  7.079E+02  6.129E+04
  8.710E+02  7.223E+04
  1.072E+03  8.516E+04
  1.318E+03  1.005E+05
  1.622E+03  1.186E+05
  1.995E+03  1.403E+05
  2.455E+03  1.661E+05
  3.020E+03  1.970E+05
  3.715E+03  2.341E+05
  4.571E+03  2.787E+05
  5.623E+03  3.325E+05
  6.918E+03  3.976E+05
  8.511E+03  4.767E+05
  1.047E+04  5.727E+05
  1.288E+04  6.899E+05
  1.585E+04  8.331E+05
  1.950E+04  1.009E+06
  2.399E+04  1.224E+06
  2.951E+04  1.489E+06
  3.631E+04  1.815E+06
  4.467E+04  2.217E+06
  5.495E+04  2.714E+06
  6.761E+04  3.329E+06
  8.318E+04  4.090E+06
  1.023E+05  5.032E+06
  1.259E+05  6.200E+06
  1.549E+05  7.648E+06
  1.905E+05  9.442E+06
  2.344E+05  1.167E+07
  2.884E+05  1.442E+07
  3.548E+05  1.782E+07
  4.365E+05  2.200E+07
  5.370E+05  2.714E+07
  6.607E+05  3.345E+07
  8.128E+05  4.113E+07
  1.000E+06  5.047E+07
